tweet,hatespeech
semua orang bego elu gampang ngerasa,1
ajar kenal organ intim,0
bhinneka tunggal hidup sama bangsa salam natal kupang,0
user mau suci yg apa kitab sdh blm dlm skng,0
user bacot la sok njer intelek kek telek,1
proyek bangun presiden pelosika batal bendung,0
user u gausa sebut,1
banser l jaga ulama,0
bela jokowi ruhut sebut prabowo tak bisa tanding jokowi pilih presiden jangan terlalu i url lalu,1
jadi gue punya grup whatsapp grup a msgi alias minority sexual and gender identity jadi isi banyak gay sama lesbi diomongin apa aja semua sex politik diskriminasi faith religion,0
user halo aku sampe sipit biell,0
user,1
anjir apa musisi kakean cocot,1
user r meja iya un xfxfxaxaxfxfxaxaxfxfxaxa,0
user brisik ni s kutuk,1
user tau special force cerita baik curi kat cafe hujung sorang cik hahaha gempak babi,1
user banci kalau memang gentlemen sebut orang siapa,1
april pd sidang excecutive board unesco presiden unesco tuju hasil sidang komisi dgn ketu palu tepat wib arti geopark ciletuhpalabuhanratu a sandang predikat ciletuhpalabuhanratu unesco global geopark cpugg congrat,0
sedikit sedikit lapor apa gak habis rezim jokowi e aneh url,1
bahkan tinggal bnr mrk imigran punmrk sdh jk sblm brdiri myanmarapa imigrn cina kita usir dr indonesiabnyak yg siap kl atur main,1
rezim hashtag panik takut jangan gantipresiden,0
rt user udah sok tau trus j sok pinter hhmmmm ken gue gampar bibir pake wedges bencong,1
user user user ketua karang taruna nama andin wakil nama sudin jadi k panggil ktua wakilnyannsaya singkat asu,1
user user nah bacot cebong xfxfxxxfxfxx pkixfxfxxxfxfxx,1
ajar t nama tuhan dapat nikmat ikut jln hidup muhammad bejad,1
film url,1
user aku malah i hm kalau udah akrab sama temen rl selalu bilang paling banyak bacot aku,1
user user user kafir user user user ulah cebong user keparat,1
najis beut main ml kalah mulunntemen nya buta map malah jebol semuannatas push bawahxfxfxxadxfxfxxadxfxfxxadxfxfxxc,1
user anak pmr cupu,1
user aq mau klo ngentod gantiin suami km,1
murka anjir maen hp r malah mati,1
keliru nyebut manusia yg benar tuhan tuhan datang layan bukan pamer a spt ajar quran,1
user user user user ngga user user user user pede sih loe loe ngga milih user ngaruh gantipresiden,1
rt user bajing jelang,1
bocah ngajak nongton galapremiere ane tanye pelmnye ape abdi dikibulin kate doi padennane kire setan egataunye beneran dong brengsek url,1
user user user user puisi untukmunelu bajingannwajahmu setannmulutmu iblisnmengaku manusianpadahal binatang mesumnn seni nyet,1
kandidat calon presiden wakil prabowo agus h yudhoyono gerindra demokrat pks pan partai jokowi hartanto nasdem ppp psi,0
presiden user ini dasar lapor saya terima dapat ribu asn ribu tni ribu anggota polri belum milik rumah sifat t permanen jokowipercepatpenyediaanperumahan,0
cnnikut sama nnkao dari tadi tahan wajah akhir ledak jugannbajingan keparat kau aku lelaki aku tekan kan sekali lelaki cuih nndadanya naik turun emosi merah bagai kepiting rebus rupa juga,1
ibu titip salamterimakasih atas undang r nya,0
user juga w kritik kerja dprlalu knp tiba terbit uu md,0
teroris budha yg tembak perahu myanmar tumpang anakanak,1
alhamdulillah dpt smoga jadi kado jg unt pks khidmat dg untrakyat gubernur warga sumbar,0
user user user lekong,1
user user user sebut wah yang berat user cebong yah,1
wasit goblog goal,1
user orang wah goblok sekarang main twitter,1
been eyeing p this site since months barusan nyoba buka laginnngecek harga sapiens sama homo deus jauh lebih murah periplus jadi yahnnlets try again some time later url,0
makin hari berita makin lucu akrobat politik laku gerus jokowi presiden elektabilitas begitu tinggi,0
tai doido,1
user a ikut seru ulama hanif,0
user n kaum nasrani yahudi kali om utk pecah belah umat muslim astagfirullah,1
user sedi lagu ih aq mau g pudak onta,0
makin mau mati malah k makin jadi jadi si iblis betina tua ituntangkapsukmawati,1
asal selamat seberang biar gantung ekor sangat b peribahasa,0
user user user user user user user user user user,1
tentu negara bukan presiden,0
bunda adri cerita alam sekolah sekolah kristen raya lebaran natal imlek sama teman sabangmerauke jadi a alat ajar agam toleransi rasa buat anak anak menjalintoleransi,0
erudite mah cuma gede congor aja,1
hikmah pikir positif yg wakil presiden jusuf jk acara,0
user presiden rasa k mapia gantipresiden,1
mah sama aja hasil lama investasi jadi panglima ekonomi mustahil rakyat sejahtera banting m stir pada prinsip ekonomi gotong royong yg cantum dlm pasal uud jangan rakyat keluar mulut buaya,0
rt user user user kasus user user user simpatisan pak prabowo ga yang bener,1
kata airlangga pribadi jangan lupa bu khofifah alam tahun mensos n sama presiden user ikut bantu entas miskin khofifahemiljatimsatu,0
user istilah cebong c kampret kurang bau arab pakai istilah onta dungu keledai liar,1
tepu biar akun cebongxfxfxx,1
user polisi h,1
aku becky annmenjelang nagua kulitnguabukan,1
kpk anggota dprd sumut kembali uang warta e,0
suka bgt emutin kontol yg o gt,1
bangsad,1
damai berita hoax sukses pilkada tolak wilayah kota diri,0
rt user user user doa bro ganti,1
user kliatan pengeeen msk kabinet kerja eps cb hitung bung utang sdh dkt triliun hrsnya anggota dpr jgnjln luar negri biaya parpol cabut aja ide d,0
a bgt goblok,1
user user user user user user user user a maho,1
dubes kwang il tekad kembang tukar a koreari klikrmol korut,0
jangan u nonton dengar lagu banci url cc user user,1
byk orang g buta it smh xfxfxaxaxfxfxfxbbxexxdxexxxefxbxf,0
rt g user cina masuk salah satu ras indonesia beda dg singapur,1
user user user user user user user user user user user user user user user user masalah si banci akun palsu bilang utang perintah era user,1
user hahahahaha aku sneak out tgh malam buta haa bukan permission xfxfxx i still consider as strict parents,0
aku kata aku tak butuh aku orang munafik dalam s ak jualforedijogja,0
gua inti ga nyesel dah pokok join angsat biar memb nya k bego semua kadang wkwkg,1
rt user kapan asu m bukan haknyankapan asu m berlebihannkapan asu pernah curi bagaimana manusianndimanaxexxa,0
user mmg noo,0
user nama prri gampang pki,1
user contoh nndah jalan kalau sangkut takpe kat tengah jalan pastu lainxexxa,1
user kalo arti nikah anak koruptor sby,1
user cebong mah b wae boongin memexfxfxxxfxfxxxfxfxx,1
anies paling aja gede realisasi gak janji terus awal bisa congor korupsi balik jadi dosen aja bangsat,1
jelas yme pancasila orang indonesia allah swt tuhan,1
wow m dana mana sungguh terlaluh kau kowi balik solo gantipresiden,1
harus diskriminasi kerja lgbt gay biseksual transgender malaysia nikmat hak sama warga dan,0
user user user user siapin bahu meja taplak q,0
user nah hasil bagi akuu wkwkwk gitu bagus deh a ga a tetep sarapxfxfxxxfxfxx,1
user gitu jablay bazeng,1
user nanyi setan gue engga,1
user baik beliau minta mundur pak user memang o politik,1
user user user user user user user user user user user user user user user user user user user user user user,0
info user apa aja sih program bantu perintah guru tinggi cek hindu agama sini,0
astaghfirullohalaziim jgn musyrik salambudaya sragen haram,0
woe cebong loe dasar komunis atheis silipis autis u,1
user user kasih bukti pojok nama kemanamana mlipirnya cacat logika,1
user user user user user justru malah universal ngomongkitab suci arti semua kitab suci dongmenistakan semua kitab sucidan al quran salah satu kitab suci agama islamtdk ragu,0
user user user cebong diam tau apple liat apple doang istilah bikin kata to pinter minim kognitif,1
picek sama yg pake,1
xexxa junki bocah lakilaki tekan dagu mungil ujung tumpul pensil warna warna biru muda pasang mata sipit kerjap dahi kerut tanda a kecil tengah pikir nnxexxcitu eomma berenangxexxd,0
utk hasil mendagri terus sempat presiden,0
user kok aku ra asing karo n kui yo,0
user laaaahhhhh jackson bilang sampah liat yg ngetweet apa coba mau trs akun dong kak heheh,0
user bgstnlo bener jd cewe astaga,1
user aja titit kalo nakal,1
user mao naek apa kekbodo amatkaga ngaruh keleees lihat polling gogle minta presiden nya ganti ha e ha ha gantipresiden pakogahgantipresiden,1
utang bank asing bli saham freeportg bayar utang freeport sita loe ngecap beli salah g beli ap mau loe salah sederhana g usah kakean gaya utang yg ad aj ud tumpuk trus mu nambah rakyat yg penting bahan pokok murah barang,0
user user cebong mana terima bilang rezim amatirannklo gak amatir mana bukti rezim profesionalutang negarajanji kampanye mana bukti makmur rakyat subsidi dicabutirezim kayak a gin lu mau bilang profesional,1
user user user user user si mah kampret user nyecerrnya cuma berani gue klo eloe bani kederrrr xfxfxxxfxfxxxfxfxxxfxfxxxfxfxxx,1
user kangen dg diktator diri jd antek usa bohong rakyat penting asing rampas sda kaya bodoh,1
yang mau kirim foto kontol gak nich sange t chatsex,1
umat agama dijakarta haram ahok kafir,1
user xfxfxx user nih kacung nya aseng bunyi user,1
user gronbrekeng pita manajemen proyek tahap aj lah tukang tipu ketulungan akibat gantipresiden,1
subhanallahaamiin yrainsya allah diijabah allah,0
user assalamualaikumnsiapa yg bela kresten sembah bangke yesus k ga satu yg bela kresten yg bodoh,1
orangorang musyrik jadi jin sekutusekutu qs padahal allah cipta jinjin allah,0
rt user benam batang kontol mu dalam pepek ku syg ohhhh ahhhh url anjingggg,1
user user user s benderang boediono ingin jadi wapres itu dzholimnya bohong rakyat bahkan anak buah tutup akan ekonomi indonesia runtuh tdk menyelamatka bank century bung rr ba,1
iman jilat gk kaget,1
user ngancem bunuh gak bakal pernah lucu mana yg diancem a bloon banget sih tuntut pidana berat pak user,1
user bodo gue mamat gue ngambek,1
emil dardak gubernur jawa timur,0
wow ciduk anies satu tim sukses satu sandi yg jual fitnah,1
user user bilang,0
wah jadi ngobrol tonton the boy the pajama tentang kamp,0
pndukung sda adl kasar gtgt ltlt dasar anjing,1
user cara apaapun komunis laku psi tak laku indonesianrakyat tahu psi agen yg,1
user biadaaaaa keparat aparat,1
user nate bocah kontol o sontoloyo kepala getel sial asu brengset,1
syariat islam sama rendah sumber misal budaya,0
benar gera a hijab sdh lama saudi thn fatwa ulama muka saudi nyata wanita ga perlu pake jilbab pake make up posting foto sosmed saudi trendnya a jilbab indonesia malah makin bung,0
user user user user sya jg ga terlalu suka dgn rezim yg skrg tp sikap ancam angkat senjata yg indikasi m rongrong merah putih jg tdk makanya tahun depan pasti indonesia milik pimpin yg jiwa nasionalisme,0
gak pimpin jakartabanjir punya akhlak yg baik nista agama,1
dekat lawyer t satu merk yg pakai lampu jpu dki dgn ahok gubernur itu dduga jadi alas pilih satu merk sebut,1
istilah kecebong kampret harap hilang jagat dunia maya istilah kofar kafirsesat sesat bgmn a edisingadukaaa a user,1
user hahahaha makin tau ni cebong mau m balik bego xfxfxxdxfxfxxd,1
hayguyskita lihat yo siapa benar yg sebut pasu nasi bungkus yo buktikankalian bs buuktikan jg a gass pool lg yogantipresiden nyasip,1
user h dpr,1
aja,1
ekspor indonesia naik tajam bulan maret naik banding bulan februari jadi f surplus dagang besar miliar dollar mudah jadi tanda bangkit ekonomi indonesia,0
rt user user tadi di ig yaudah lah jd t narik tmn aja terus bahas bakso sana abs kan t perhati t blg masxexxa,0
n pki anjing url,1
user waktu t dpr user tidur xfxfxxxfxfxx,0
budak twitter zaman kini b memang wajib ajar didik quran sunnah gejala senda agama,0
zaman sekolah cinta monyet kononnurl,0
wusu lu mentab gua rame,0
g kang user fakta hari inipartai dukung si nista agama sangat benci rakyattermasuk rakyat jabar url,1
user sebenernya cacat anak jadi anak kaya reaksi tau kondisi biar tau ngasih orang tua dulu gimanaxfxfxx,0
wkwkwkwkwkwkwkwkkwkwkwkwkwkwkwkkw main anjing kirain golf url,0
insyaallah u tgk kita lihat alam ini penting umat sepele gantipresiden,1
sumpah bego bgt sih kesel yg ada org gue vote makhluk kayak sandiaga uno coba agama,1
nonton korea ngentot memek memekbasah toketmulus kontol bispak bokep poxexxa,1
sejarah pki komunis antek lg sok siksa url,1
allaahu yubaarik fiykum yaa syaykhunaa alfaadli apa arti l lukman masih menteri republik indonesia kan,0
pt tahun lama asai buat tinggal padahal freeport banyak hasil eksplorasi alam papua,0
url brngkat krja ngentot dulu sama pacar user,1
jakartabanjir pimpin gak punya s akhlak yg baik nista agama,1
banyak cowok galau karna   bangun mimpi basah mimpi basah di enaenain sama banci,1
user gabisa s keluarga belo krna ku sipit xfxfxx,0
tar gembel gue mulai nyanyi duluan lu ngerappnya heh aja kalo udah lolos audisi yg entertainment user,1
fc nya ganteng maho,1
bebas lahan makan waktu tahun meski belum seluruh biaya s batas ingin kuat jabar akhir mampu selesai bandara mayoritas dana apbd prestasi rakyat jabar,0
rt perintah tdk pancasila amanat derita,1
setya novanto b menang hukum mati suri url,1
rt lo user lost respect sekian kali buat agency yg lo banggain buat artis user banggain nkelakuan tai kucinxexxa,1
user bwahahhahahagw demen klo dah liat cebong ngamukxfxfxxxfxfxxxfxfxxkhas cebong kacungxfxfxxdngantipresidenkacung kalah debat ngamuk ngamukcung banget,1
user gak e buang sampah sembarang,0
kontol gua lu,1
muka mpo silvy asem bangett ngakak kena deh abis debatfinalpilkadajkt sih jahat,1
rt user anies sandi kenang hormat sejarah menang tak dlm anies sandi lantik kan beres urus pak djarot sibuk,1
wagub banten ajak masyarakat riah seba baduy bareng festival exiting april in rosyadi wakil gubernur banten andika hazrumy ajak masyarakat m hadir riah seba baduy,0
htibubarmei kacung kacung rezim alih issuissu apa lg yh udah jelas bubar e bahas lgdasar kaum dungu,1
wah transgender jadi url pakistan caleg,0
mas apa takut pecat novanto krn setnov ngebelain si,1
user suka cari cacat orgnmanusia olahraga,0
akhir kali user hadir keluarga ppp tunjuk yg sangat kuat user pppforjokowi,0
sentuh jokowi indonesia bangun riau proyek jln tol pekanbarudumai ruas trans sumatera tol rampung manfaat pandang segi pem,0
user user user lg pake jurus kalajengking ngamuk nsayangnya yg pake s jurus dongo xfxfxx,1
user wakakakak iyaa gara g si andri fala bangke si provokator xfxfxx,1
user a user user user user yg mingkem siapa kodok bani kampret bkn pdi sdh tdk yg itu pdip juang xfxfxxxfxfxxxfxfxxxfxfxx,1
user bani u indomiah ngikut,0
user sama suka ngga terlalu suka dia ngefansnya gue binatang kelas atas macem hiu ular buaya makanya baa baa black sheep skip,0
kpk ri awas tahana izin cuti ikut pilkada kendali masih proyek perintah,0
rt user user user udah d langkah perintah utk bubar slain jd akun nyinyir kader jebol hti bbrpx,1
gerombol kampret,1
asing kenal,0
adik yunior terus tanya tanya i sensitif betul indonesia jadi negara komunis bang tdk duli dengan negara bangsa kita lanjut benar nya bukti tka masuk pol,0
perilaku cina memang itujadi khianat jogja jadi kelas pinggir dasar,1
a ce kacamata identik kata culun,0
presiden user ingin kait,0
yaampun k bener,0
batal lantik anies,1
komunis akalakalannya aja zen kivlan sbg bentuk kecewa krn user jadi presiden url,1
pensiun kapolri user user url,1
user sama indonesia ada ubah t cara gantipresiden,0
rt forever alone dewa gila babi member sorang url,1
user user najis,1
user logikanyaga jabat yg utk pimpin,0
apa yg di senjata buah i yg anti perintah paham komunisterlalu dangkal i lu med user,1
user user user kalo elu m makan duit apa cong duit partai partai aseng aseng rampok duit rakyat nah sekarang lo mau jual rakyat kecil otak lu cong xfxfxxbxfxfxxbxfxf,1
rt user jujur smpe sekarang gw baru pernah ngentot sama cowo kissingapapun kalo pernah gw kaga x ngewe sama cewe gw bisexxexxa,1
u bubar aja dprkebanyakan diam url,1
cuk bangun ayam mau bubur tai user ga,1
tahun utang jokowi tara tahun sby rakyat a bayar utang url,1
nyata tentang makam tanah bahwasanya karna,0
user user freeport internasionalisasi bangnndari aneh uang nunggu aja nggak lama kok,0
contoh kita sebut misal hukum istilah tsb cakup taung substansi isi muat hukum tulis tidak tulis struktur tegak hukum polisi jaksa hakim a advokat budaya hukum cara berpikirampbertindak masyarakat hadap,0
user mbak hari wkwkwkwkwk mba bias yg cowo banget gitu,0
user yg milih cebong tengik sekularisme antek,1
agama n ateknya jasad tdk tdk prnh kn moga tuhan,1
user user pak lulung masuk golong cebong s kampret nkok lebih dominan lekat ciri kampret s tanda pak user,1
rt user prabowo t libat kasus culi url,1
omahoknyamana omkatanya si babi ahok ngatasi banjirombabi jgn bual m,1
god bukan sus g allah agama onta pikir yg keren ciee god tuhan g universal inggris google,0
punya takbir akan kalian ganyang pki,1
user haha iya gmz kseeeel gembrot,1
sekarang gembel gembel twitter whatsapp chat gak jelas whatsapp langsung block apa bebencongan minggir cuihhhh gak cepat kena mati aja kek yang banci feminim sial ganggu orang aja norang dri baik sampe kasar emang dasar bencong gak tau a,1
user rasa tak asingnnmereka temu pertama kali e tepat satu minggu lalu dalam lift hanya gadis adalah salah satu siswa prestasi yang terima beasiswannkeith tunggu gadis angkat wajah u,0
malang save haritage selamat cagar budaya,0
user kutuk lah kamu yg a nick queen,1
kmana paduka ktika ulama r jabar serang bhkn yg tinggal ada sepata pata kata ucap itu hey,0
diskusi om bangga manurun salah satu tokoh rongkong yg jg perhati budaya bata,0
diingetin kayak temen kristen i it,0
ebonk suka bgt hebohin receh pohon plastik lah bambu lah gilir utk issue besar kyk ekonomi yng anjlok tka ilegal merajalele besar nasional mereka mingkem emang kapasitas otak kecil kali ga bs cerna issue tahan xfxfx,1
user bodo mau ngambek,1
user user kacung user wkwkkk bani user gemar jamban dongok lu optimal cung,1
tuju bikin tuh biar nyadar pas kemaren ngehina bom dulu michel pbfc tolol lu,1
kampret lupa laundrynnhhhhhhhhhhhhhhhhh,1
presiden tegas ubah tidak soal terap daerah onlinenya izin integrasi kait sederhana proses libat semua menteri amp juga sistem sesuai cepat,0
user user user user wakakaka cebong ngibul gaya ngikut ngibul junjung,1
a cawapres duga korupsi ektp cagub jatengnya duga korupsi ektp msh blm tindak gantipresiden presidenbaru,1
hina ituu pak kira kaos sablon tukang,0
ideal politik dalam modern nationstate politik identitas gak pakai sih loe muslim gue ateis dua punya pilih yg p sama and thats pilih kita dasar timbang akal sehat bukan sekta,0
ken bodo amatin url xfxfxxadxfxfxxad,1
user user selalu ikut islam ttg diskusi nusantara tarik sekali saya berani komment prof saya kes dg komment pak budisepang saya anut kristen jawa xfxfxxa syallom,0
tanggap cuit user indonesia presiden jokowi ejek antek asing amp aseng luar malah kagum krn sikap tegas amp berani thd klaim rrc h china selatan ketika negara asia tenggara pd manut dgn kl,0
user user anti aja kontol mu bangsad org idiot kritik tau hate speech,1
user lo user kunyuk,1
ekonomi pegang gerindra hancur cetak masak saran cetak uang banyak utk bayar hutang jadi gk perlu hutang lg malah bs ngutangi negara bisa bilang biaya produksi negara uang murah ekonomi comberan kecoa yg baik yakin,0
rt user pintar tolol tipis batasnyannfahri pergi toko minum keras kendara sepeda sana beli e sebotolxexxa,1
user sore masnyaahh banci a pengkol aja baru mandi,1
user user user user user user l mata lah picekbuktikn bukan hoax buktikn kalau km kgk mlorot otak,1
user user ahh kayak ga h deh meski pake jaket fekaes skalipun mo pake jaket pki jugak tetep lanjut aja buka kan huehue,0
yang gue kalo lo mau jadi pastiin lo bertemen sama orangorang imagenya bawa,1
rt user agel perek gausah rt rt user,1
founder kata crush ni l memang brengsek,1
user tenang muslim hanya kafir keluar nanah hari kemudian modar,1
user user emang onta,0
kalo mau indonesia u damai usir cina indonesia,1
rt user apa mayoritas u etnis china dkinmengapa solid dukung nista agama islamnndendamntidak nasionalis,1
hari presiden jokowi tinjau proyek bandara kertajati yg rencana operasi bulan juni pd ak kapasitas terminal tampung juta tumpang tahun bijb bangun atas lahan luas ha amp bangun tahap,0
segala ras adil sama yang hindu perbezaan milik manamana agama,0
user user yauda cocot cincau,1
user iya maaf kira ibu mertua,0
gtkatanyagt komunis nkomunis gtkatanyagt bertuhannnitu nunjuk,0
ingat isra mikraj poskotanews,0
sekarang masak ajar kan ga,0
bejad gilamanusia user lahir bathinsudah maksiat muka umumsyariat tuhan di rusakdihinaduuhhhh gustiiiiiiiiiiiiiiii,1
ga mata kacamata bisa bikin sih lihat lebih besar lol gue liat tiap pake kacamata yg malah makin sipit mata guaaaa xfxfxx,0
ntah politik ntah kafir a ilmu nyaa gabisa di paham manusia kalo tanya rumah allah jawabannnya allah di tubuh,0
user user waketum user cuci congor user agar keluar congor gak asal jadi kalian gak perlu repot cuci tangannketua kalian user lempar batu kalian tangan sembunyi mau,1
user anti jokowi bani kampret udah bang rukun iman kali ye jadi xfxfxxxfxfxxxfxfxxxfxfxxxfxfxx,1
raja negeri pahang memang tak peduli l heritage semua sungai lembing punya lah kaya sejarah budaya tak usaha nak pulihara,0
fadli d zon bahas pilkada tak langsung kaji dalam usai pilpres,0
dekalarasi pilkada aman jabon hoax warga anti,0
user user the end he he krn m agama aja byk beda beda jg tdk dukung susah udah bayang jln terjal,0
sipit sama bibir bentuk,0
inget aja walaupun kalian jijik yaudah pakai keras binatang kalian strata pintar kalian banget waras,0
kemaren siantar copot spanduk mu sekarang curicuri main tengah demo mana panwaslu ni si djarot kampanye curang kampanye tengah demo buruh tindak tegas paslon curang no djoss register pilgubsu pilkada sumut,1
u user mampus lu ganti,1
lama mukidi kuasa orang spt fa kodat bopeng nathan a dkk jamin aman gantipresiden,1
user main s dimasukinxfxfxxbxfxfxxbxfxfxxbnteco tolol,1
harus lawan n usir dubes nyanmar boikot segala urus dg budha,1
user user user user user ingat peristiwa keluarga korban tuntut hingga ini akibat bantai tdk,0
user ppp jd bangke,1
user melayu mu yahudi kak hahah,0
aamiin yra i gie user utk cerah bangsa amp ubah indonesia,0
tuju sayaklau ahok gelar santri hormat u santri hormat babi url,1
rt user user nyata sibuk tambah promosi hoaxnkampret laahnini r nomor di daftar user ganbiar ga pxexxa,1
lo saling banci,1
user user user user mgkin kalo tembus smp akn menteri uang indonesia yg dapet pghargaan sbg mntri a sebum plato amp mars gantipresiden,1
ri lu nonton brodus cina ga,0
kok ganti jd bgt ganti presiden ganteng ya,0
xfxfxxxfxfxx apakkk kau babi user,1
kok goblog pelihara,1
daud user manusia kampret nama syahroni b rt akhir aku salah tuduh telur palsu minta maaf httpsxexxa,1
rt a user kadang kontol rasa manis kadang asem ya nurl,1
user negeri perak hari nyata sokong penuh tidak belah bahagi pimpin perdana dato menteri seri user hebatkannegaraku bersamabn datuk seri rs user presiden user dahulukanrakyat user,0
pon berani nk i walaupon saling kalau hmm baru knl hari tu pon kat blh angkat kotor zaman sekarang,1
kpk serah sdh siap bubar url,1
cari titik cahaya dlm gelap asa sulit tpi aku u yakin aku bisa temu nya insya allah aku sabar dlm cari,0
kalau sampai aku sama meried mana mungkin gak bela etnis tionghoa sampe tetes darah habis,0
user gubernur ahoax yg bangga in cebong cerdas jamban mana yg bangga in ahoker sama jokower nih liat gubernur indonesia kelas,1
monyet ramayanannyannyannyannya url,0
rt user zaman sby korupsi aman ada a yg kutikkutik,1
begini gencar jelang kampanye pilkada net jateng,0
wkwkwkkwkwkwwk,0
tua user udh user tpi dongo,1
user user user user user sekalipun gua ngomong pake data lu kagak bakal ketawa bong kalo si cungkring plonga plongo jokowi yg ngomong skalipun isi kotak taik bilang roti lu e begitu isi ota,1
tuh kalo memek qm,1
ni snge tyap hri memek mulu,1
mudik ratus kalo soal libur buat ganti amp sabtuminggu arus lebih aman arus beban tinggi,1
tuju panglima antekpengkhianat pelihara asingaseng kapitalis lihat mreka g brkedok demokrasipuratoleran,1
gue heh sipit,0
sambung kuliah maghrib khas sama syeikh kurayyim rajih ketua ulama masjid syria ustaz nazmi smackdown penterjemah rasmi beliau lokasi qurra almuttaqin wangsa lawat,0
sejahatjahat manusia ialah suka cari salah cela orang bagaimana lalat cari bangkai tempat yang quranhour busuk,0
freeport smelter freeport indonesia bukan baru udah direncanain lalu pas presiden direktur proyek indonesia jabat maroef sjamsuddin,0
ngga kenal a kenal kemudian asing,0
rt user sumber daya negara s punya siapa undang rakyat yg susah komplain dapat itu lindung undang rakyatnxexxa,0
rt user user cc user user mohon segera tangkap manusia sampah kapolri kapolri p kapolri,1
user user user aja tolak nu apa m lg ahok yg turun tionghoa nasranixfxfxxxfxfxx,0
hang buat event majlis buka puasa hang tak puasa m,1
tau lansung debatfinalpilkadajkt,1
bukan betul hampir semua indonesia nonmuslim makin hancur,1
ad eek donlot,1
user main taplak e mah bocah,0
dana haji embat saat jokowi lengser negara gadai asing n makin besar apbn amblass turun jokowi,1
user lu perek user mah,1
user,1
kurang jakarta wanita dki daya lihat telak beda warna muka warna tangan mpok sylvi debatfinalpilkadajkt,0
jangan harap bisa,1
katolik kiblat vatikan wajar ga gugat lalu islam kiblat mek betul arab manusia pada n pancasila langgar pancasila sila ke,0
evi layanto siswi sd katolik karya yosef kelas b k istri ronaldo pardede sah,0
team onta yo o quda cap ora popo,1
user kuyaaaaaaaaaaaaa asu asuuuu si asu,1
j rt user ini to cara menang anies sandi kemarin pake saracen,1
waw banget pejuh mu broklu memek istri langsung hamil tuh,1
user user user user user user user user user user user user bom negara saat ininada a xfxfxx,0
user user cina babi komunis anti agama utama islam g yg bikin ribut indonesia,1
user n nyimengnya cupu ya kak senior ampuun,1
r rt user icymi swat sfc selamat monyet proboscis url url,0
belum r tidur cepetan tidur gigit onta hloo d,0
user user mniadi aktivis memang unt mngkritisi bijak mngkoreksi t rezim yg kurang pas atau keliru speti hal protes,0
user user kampret mencret e kau salah perintah kok neeekkk,1
user user sori cung gw bukan spt lu yg bani kacung a ngayal sampe ekonomi roket khayal hahahahaha,1
ehh anak anjing ahok kelan blon siuman mending emut bool t basuki aja sana kasih tau sama babi yg bool basuki wangi gitu,1
user user apa goblog,1
user user kristen lesbi emang,1
cocot banyak user kaunncangkemu cuk,1
user sma gw dlu katolik tp asa sma negeri jumlah katolik kristen budha haha islam hampir rata hindu,0
user mukidinya si g,1
indonesia yg r dibully org yg beneryg salah binatang nomor tiga dibiarin liar matanajwadebatjakarta pak an url,1
bandung insentif guru paud bandungharmonis bandungvotenuruli calonwalikotabandung,0
telah blokir jokowi m harap lengser jokowi,1
haha w ngerasa jijik sm e diri w sndr stlh lihat kmbali isi dm sm mantan w dirp haha alhamdulilah udh pny pcr inrl amp lbh bahagia gak fanaxfxfxxc,0
breaking news user mohon perintah masuk semua pihak kait a hukum indonesia bebaskanamppulihkan nama baik semua warga negara indonesia vonis penjara nista agamakarena dosen userkitab suci fik,0
user user kalau n lihat kok kebangeten jabat tinggi negara para menteri wiranto gp ancor abu janda masak presiden simbol negara hina kok diam,1
anjing elo rebu emg url,1
aku suka payudaramundasar kurang ajar kau kata menamparkunlalu apa pamer i tak puji nnbrengsek,1
pantesan nama kaya gak asing e lalu,0
teman user maju sbg caleg dpr ri dapil kota bekas depok dr psi ayo sus semangat juang nasib m lbh sejahtera adil didik rata sehingga negara bs lbh humanis toleran bhineka,0
wkwkwjjwjw asu url,1
harihari banyak orang jadi agama sbg sumber marah perlu tampil e agama sbg sumber kasih binadamai sila baca buku gratis agama bawa damai user user user user user user,0
otw kamu mah,1
user user user user user eehmjustru kristen katolik kristen protestan udah bumi nusantara duluan mas ibadah kitab lagu flores gaya jawa batak udah toraja ds,0
user i cuma citra,1
user user emang kecoa goblog uang bank yg maling,1
user user harus makin senang koar gak jelas kayak gitu biar rakyat makin tau cocot e lagi bingung hadap ttapjokowi,1
user user naila jarang interaksi eh kamu dah uv si mata sipit bukan a wkwk,0
sukses pilkada kotametro ayokedamraman,0
user klo aku pura pura k tikaudjoonbahanafm,0
user user user user bloon tw fiksi sekarang buku gampang harga seratusanxfxfxxxfxfxxxfxfxx,1
si goblok nyuruh ngupas kulit kacang ijo ber baskom baskom tolol bgt tai kira gampang asu gabut bgt idupnya gak monyet balik balik gue,1
rt user ngentot nya habis enak dimainin pejuhnya url,1
user ngobrol ayok ama aku cantiq dri cina wkwk,0
user k kayak tau kak apa kak ga asing gitu,0
user anjir wkwkwkwk nete a nih,1
user user user shrnya ustd meluruskn orng yg salh bukn tan salh demojdi skrng tau kwalitas ustd bgusan ustd wlpun orng g pki mobil mewh,0
allahu akbar n ketua umum fpi lapor ade armando bareskrim,0
user apa ah elah a banget bom sempet screenshot,1
user pas audisi kek rambut panjang item terus sipit ngedancenya lincah bgt kek ngel bulu ulet ngel gt dahhxfxfxxadxfxfxxadxfxfxxad,0
